"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1456110440"," 2016-1455878131"," 2016-1455873823"," 2016-1455853108"," 2016-1455851184"," 2016-1455846416"," 2016-1455844540"," 2016-1455778075"," 2016-1455766986"," 2016-1455763232"," 2016-1455760161"," 2016-1455327775"," 2016-1455324631"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,3,2,0,0,3,2,0,0,0,11,0,0,1,22
"BALLPEN BLACK",0,2,0,0,0,0,12,0,0,0,5,0,0,19
"BALLPEN BLUE",0,2,0,0,0,0,0,0,0,0,5,0,0,7
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",1,0,0,0,0,0,0,0,0,10,0,2,0,13
"BOND PAPER SHORT",1,1,0,0,0,0,0,0,0,0,0,0,0,2
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",4,3,0,0,0,0,0,0,0,0,0,0,0,7
"DOUBLE CLIP 1",0,0,0,0,0,0,0,0,0,0,0,4,0,4
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,28,0,0,0,0,0,0,0,0,0,0,0,28
"ENVELOPE LONG",0,0,0,30,0,0,0,0,0,0,0,0,3,33
"ENVELOPE SHORT",0,0,0,30,0,0,0,0,0,0,0,0,0,30
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAX PAPER",0,0,0,0,0,0,0,0,10,0,0,0,0,10
"FOLDER GREEN",0,0,30,0,0,0,30,0,50,0,0,0,0,110
"FOLDER LONG",0,0,0,30,0,0,0,0,0,0,0,0,0,30
"FOLDER SHORT",0,0,0,30,0,0,0,0,0,0,0,0,0,30
"GLUE ",1,0,0,0,0,4,0,0,0,0,0,0,0,5
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",1,0,0,0,0,0,0,0,0,0,0,0,0,1
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,2,0,0,0,0,0,0,0,0,0,0,0,2
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,2,2
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0,2,2,0,1,2,0,0,7
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,2,0,0,2
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,1,0,0,0,0,0,0,0,0,1
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",0,0,0,0,0,0,5,0,30,0,0,0,0,35
"NEWSPRINT SHORT",0,0,0,0,0,0,5,0,0,0,0,2,0,7
