"Daily Approved Request Report from 12:00am to 11:59pm "
Item," 2017-1485305986"," 2017-1485235955"," 2017-1485165503"," 2017-1485142619"," 2017-1485137945"," 2017-1485136500"," 2017-1485133225"," 2017-1484963566"," 2017-1484894504"," 2017-1484881940"," 2017-1484881743"," 2017-1484881621"," 2017-1484877589"," 2017-1484876723"," 2017-1484873087"," 2017-1484819888"," 2017-1484804570"," 2017-1484803419"," 2017-1484788589"," 2017-1484723115"," 2017-1484720095"," 2017-1484711927"," 2017-1484707044"," 2017-1484705908"," 2017-1484630959"," 2017-1484625185"," 2017-1484618393"," 2017-1484542082"," 2017-1484532646"," 2017-1484531068"," 2017-1484527053"," 2017-1484364546"," 2017-1484363715"," 2017-1484125428"," 2017-1484116504"," 2017-1484112425"," 2017-1484112317"," 2017-1484015352"," 2017-1484011581"," 2017-1483580550"," 2017-1483432822"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,0,0,0,5,0,10,0,0,5,0,0,0,0,0,4,0,10,0,5,0,1,0,5,0,5,5,0,0,4,7,6,2,2,0,1,0,3,2,6,0,88
"BALLPEN BLACK",0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,35
"BALLPEN BLUE",0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,32
"BALLPEN RED",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,20
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,2,0,0,5,0,10,0,0,6,2,2,1,0,0,2,0,10,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"BOND PAPER SHORT",0,2,0,5,3,0,10,0,0,6,3,4,1,0,0,2,0,10,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
