"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 6662-1452476662"," 3183-1452473183"," 2845-1452472845"," 1790-1452471790"," 2016-1452298981"," 2016-1452239864"," 2016-1452236788"," 2016-1452231929"," 2016-1452129671"," 2016-1452129489"," 2016-1451952101"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,4,4,0,2,0,0,0,0,7,6,23
"BALLPEN BLACK",0,0,0,8,0,0,0,4,0,5,0,17
"BALLPEN BLUE",0,0,0,0,0,0,0,4,0,0,0,4
"BALLPEN RED",0,0,0,0,0,0,0,4,0,0,0,4
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",4,1,0,0,2,0,0,0,1,0,15,23
"BOND PAPER SHORT",4,4,0,0,2,0,0,3,2,0,17,32
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,2,0,0,0,0,0,0,0,0,2
"CORRECTION TAPE REFILL",0,0,5,0,0,0,10,0,0,0,9,24
"DOUBLE CLIP 1",0,0,0,0,0,0,5,0,0,0,4,9
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,0,10,10
"DOUBLE CLIP 3/4",0,0,0,0,0,0,3,0,0,5,3,11
DVD,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,13,13
"ENVELOPE LONG",0,0,5,0,0,0,0,0,10,0,10,25
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,10,0,10,20
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,10,0,0,0,0,0,0,0,10
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,3,1,0,0,0,4
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,100,10,2,15,35,162
"FOLDER LONG",0,20,0,0,0,0,0,0,0,0,0,20
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,0,1,0,0,0,0,1
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,1,0,0,1,0,0,0,2
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,1,0,0,1,0,0,0,2
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
