"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1469754205"," 2016-1469700750"," 2016-1469689086"," 2016-1469684081"," 2016-1469671425"," 2016-1469670501"," 2016-1469601323"," 2016-1469599829"," 2016-1469588287"," 2016-1469584020"," 2016-1469582415"," 2016-1469580319"," 2016-1469580296"," 2016-1469515452"," 2016-1469514823"," 2016-1469512728"," 2016-1469161043"," 2016-1469005020"," 2016-1468824223"," 2016-1468635986"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL,0,2,0,0,0,10,4,0,0,8,5,0,2,0,0,0,0,15,1,0,47
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,4,0,7,5,5,0,0,5,1,0,10,0,0,0,0,0,10,0,0,47
"BOND PAPER SHORT",0,2,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,0,22
CALCULATOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD-R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50
CDRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",3,0,3,0,0,6,0,0,0,2,0,0,0,0,0,2,0,1,1,0,18
"CORRECTION TAPE REFILL",2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,6,0,10,0,0,25
"DOUBLE CLIP 1",3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14
"DOUBLE CLIP 2",0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,6,0,5,0,0,22
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ENVELOPE LONG",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,25
"ENVELOPE SHORT",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,25
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",50,30,0,0,50,0,0,0,0,0,0,0,0,0,0,15,30,0,0,0,175
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
"GLUE ",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HP INK 933XL CYAN",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HP INK 933XL MAGENTA",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HP INK 933XL YELLOW",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
