"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1465956178"," 2016-1465955707"," 2016-1465955458"," 2016-1465955200"," 2016-1465953474"," 2016-1465951905"," 2016-1465951623"," 2016-1465886773"," 2016-1465805745"," 2016-1465803926"," 2016-1465792794"," 2016-1465791660"," 2016-1465789693"," 2016-1465787082"," 2016-1465782906"," 2016-1465782653"," 2016-1465518532"," 2016-1465358177"," 2016-1465180319"," 2016-1464915800"," 2016-1464829714"," 2016-1464228258"," 2016-1463536169"," 2016-1463186995"," 2016-1463104910"," 2016-1462858141"," 2016-1461288983"," 2016-1461288286"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALCOHOL,0,0,0,5,0,0,0,0,0,0,3,1,2,3,0,0,4,0,5,5,3,4,0,0,4,0,0,0,39
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BALLPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"BATTERY AA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",0,3,3,0,2,3,0,0,4,0,3,0,2,3,2,2,0,0,0,0,0,0,0,0,0,0,3,0,30
"BOND PAPER SHORT",0,3,0,0,2,3,0,0,4,0,3,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22
