"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2015-1450058022"," 2015-1449804117"," 2015-1449800553"," 2015-1449793944"," 2015-1449732156"," 2015-1449724918"," 2015-1449712348"," 2015-1449625144"," Total"
"A4TECH  KEYBOARD",0,0,0,0,0,0,0,0,0
ALCOHOL,4,0,0,3,0,0,0,0,7
"BALLPEN BLACK",0,0,0,0,0,0,0,0,0
"BALLPEN BLUE",0,0,0,0,0,0,0,10,10
"BALLPEN RED",0,0,0,0,0,0,0,0,0
"BATTERY AA",0,0,0,0,0,0,0,0,0
"BATTERY AAA",0,0,0,0,0,0,0,0,0
"BATTERY D",0,0,0,0,0,0,0,0,0
"BOND PAPER LONG ",4,0,0,3,0,0,0,0,7
"BOND PAPER SHORT",2,0,5,3,0,0,0,5,15
CALCULATOR,0,0,0,0,0,0,1,0,1
"CARBON PAPER LONG",0,0,0,0,0,0,0,0,0
"CARBON PAPER SHORT",0,0,0,0,0,0,0,0,0
"CBP BOX ",0,0,0,0,0,0,0,0,0
"CD-R ",0,0,0,0,0,0,0,0,0
CDRW,0,0,0,0,0,0,0,0,0
"CORRECTION TAPE ",0,0,0,0,0,0,0,0,0
"CORRECTION TAPE REFILL",0,0,0,0,0,0,0,0,0
"DOUBLE CLIP 1",0,0,0,2,0,0,0,0,2
"DOUBLE CLIP 2",0,0,0,2,0,0,0,3,5
"DOUBLE CLIP 3/4",0,0,0,2,0,0,0,0,2
DVD,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0
"ENVELOPE LONG",0,0,0,15,0,0,0,0,15
"ENVELOPE SHORT",0,0,0,15,0,0,0,0,15
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,1,0,0,0,0,1
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",10,0,0,2,0,0,0,0,12
"FAX PAPER",0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,20,0,0,0,10,30
"FOLDER LONG",0,0,0,20,0,0,0,0,20
"FOLDER SHORT",0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,0,0,0,0
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0
"HP TONER 05A",1,0,0,1,0,0,0,0,2
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0
"HP TONER 35A",2,3,0,0,0,0,0,0,5
"HP TONER 36A",0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0
"HP TONER 85A",2,0,0,0,4,0,2,4,12
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,0,0,0
LOGBOOK,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",0,0,0,6,0,0,0,0,6
"NEWSPRINT SHORT",0,0,0,7,0,0,0,0,7
NOTEBOOK,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,10,0,0,0,0,0,10
"PAPER CLIP SMALL",0,0,10,3,0,0,0,1,14
"PENCIL MONGOL",0,0,0,3,0,0,0,0,3
"PENTEL PEN BLACK",0,0,0,0,0,4,0,0,4
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,1,0,0,0,0,10,11
"PILOT BX-V5 SIGNPEN BLUE",0,0,1,0,0,0,0,10,11
"PILOT BX-V5 SIGNPEN GREEN",0,0,2,0,0,0,0,0,2
"PILOT BX-V5 SIGNPEN PURPLE",0,0,3,0,0,0,0,1,4
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,2,2
RULER,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0,0,0,0
"STABILO ORANGE",0,0,0,0,0,0,0,0,0
"STABILO PINK",0,0,0,0,0,0,0,0,0
"STABILO YELLOW",0,0,0,2,0,0,0,2,4
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,5,5
"STAPLER #35 ",0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,4,0,0,4
"TRASH CAN",0,0,0,0,0,0,0,0,0
Total,25,3,32,110,4,8,3,63,248
