"Daily Approved Request Report from 8:30 to 11 am (Aug 20 2015)"
Item," 2015-1440035317"," 2015-1439447512"," Total"
ALCOHOL,0,0,0
"BALLPEN BLACK",6,0,6
"BALLPEN BLUE",0,0,0
"BALLPEN RED",0,0,0
"BATTERY AA",0,0,0
"BATTERY AAA",0,0,0
"BATTERY D",0,0,0
"BOND PAPER LONG ",0,0,0
"BOND PAPER SHORT",5,0,5
CALCULATOR,1,0,1
"CARBON PAPER LONG",0,0,0
"CARBON PAPER SHORT",0,0,0
"CBP BOX ",0,0,0
"CD-R ",0,0,0
CDRW,0,0,0
"CORRECTION TAPE ",1,0,1
"CORRECTION TAPE REFILL",10,0,10
"DOUBLE CLIP 1",2,0,2
"DOUBLE CLIP 2",7,0,7
"DOUBLE CLIP 3/4""",4,0,4
DVD,0,0,0
DVDR,0,0,0
"ENVELOPE EXPANDED",0,0,0
"ENVELOPE LONG",0,2,2
"ENVELOPE SHORT",0,0,0
"EPSON BLACK INK",2,0,2
"EPSON INK CYAN ",0,0,0
"EPSON INK MAGENTA",0,0,0
"EPSON INK YELLOW",2,0,2
"FASTENER METAL ",0,0,0
"FASTENER PLASTIC",0,1,1
"FAX PAPER",0,0,0
"FOLDER GREEN",0,5,5
"FOLDER LONG",0,0,0
"FOLDER SHORT",0,10,10
"GLUE ",0,0,0
"HP INK 21 BLACK",0,0,0
"HP INK 22 TRI-COLOR",0,0,0
"HP INK 60 BLACK",0,0,0
"HP INK 60 TRI COLORED",0,0,0
"HP INK 703 BLACK",0,0,0
"HP INK 703 TRI-COLOR",0,0,0
"HP INK 704 BLACK",1,0,1
"HP INK 704 COLORED",1,0,1
"HP INK 920XL BLACK",0,0,0
"HP INK 920XL CYAN",0,0,0
"HP INK 920XL MAGENTA",0,0,0
"HP INK 920XL YELLOW",0,0,0
"HP INK 932XL BLACK",0,0,0
"HP INK 933XL CYAN",0,0,0
"HP INK 933XL MAGENTA",0,0,0
"HP INK 933XL YELLOW",0,0,0
"HP TONER 05A",0,0,0
"HP TONER 125 BLACK",0,0,0
"HP TONER 125 CYAN",0,0,0
"HP TONER 125 MAGENTA",0,0,0
"HP TONER 125 YELLOW",0,0,0
"HP TONER 12A",0,0,0
"HP TONER 305 BLACK",0,0,0
"HP TONER 305 CYAN",0,0,0
"HP TONER 305 MAGENTA",0,0,0
"HP TONER 305 YELLOW",0,0,0
"HP TONER 35A",0,0,0
"HP TONER 36A",0,0,0
"HP TONER 53A",0,0,0
"HP TONER 85A",0,0,0
"HP TONER CARTRIDGE 78A",0,0,0
"LETTER ENVELOPE",0,0,0
"LETTER HEAD",0,0,0
LOGBOOK,0,0,0
"MAGAZINE FILE",40,0,40
"MEMO PAD",0,0,0
"NEWSPRINT LONG",2,0,2
"NEWSPRINT SHORT",5,0,5
NOTEBOOK,0,0,0
NOTEBOOK,0,0,0
"PAPER CLIP BIG",0,0,0
"PAPER CLIP SMALL",0,0,0
"PENCIL MONGOL",0,0,0
"PENTEL PEN BLACK",2,0,2
"PENTEL PEN BLUE",3,0,3
"PENTEL PEN RED",0,0,0
"PENTEL PEN WB BLACK",0,0,0
"PENTEL PEN WB BLUE",0,0,0
"PENTEL PEN WB RED",0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0
"PILOT BX-V5 SIGNPEN BLUE",3,0,3
"PILOT BX-V5 SIGNPEN GREEN",5,0,5
"PILOT BX-V5 SIGNPEN PURPLE",3,0,3
"PILOT BX-V5 SIGNPEN RED",2,0,2
"PILOT BX-V5 SIGNPEN RED",0,0,0
PUNCHER,0,0,0
"RUBBER BAND BIG",0,0,0
"RUBBER BAND SMALL",8,1,9
RULER,0,0,0
SCISSOR,1,0,1
"STABILO BLUE",3,0,3
"STABILO GREEN",0,0,0
"STABILO ORANGE",2,0,2
"STABILO PINK",0,0,0
"STABILO YELLOW",3,0,3
"STAMP PAD INK BLUE",2,0,2
"STAPLE WIRE BIG",0,1,1
"STAPLER #35 ",0,0,0
"TAPE DISPENSER BIG",0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",1,0,1
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",1,0,1
"TAPE MASKING",0,0,0
"TAPE PACKING 2'",0,5,5
"TAPE SCOTCH 1'",0,5,5
"TRANSMITTAL SHEET",0,0,0
"TRASH CAN",0,0,0
Total,128,30,158
